accuracy,amenities,bed_type,cancel_policy,instant_book,person_capacity,price,rating_checkin,rating_cleanliness,rating_communication,response_rate,response_time,rev_count,room_type,satisfaction_guest,url
9,"[33, 34, 3, 35, 4, 36, 5, 39, 8, 40, 41, 43, 44, 45, 46, 47, 25, 57, 30, 31]",Real Bed,5,TRUE,6,27,9,9,9,1,1,113,Entire home/apt,85,https://www.airbnb.com/rooms/8330860?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 2, 4, 5, 8, 21, 25, 27, 28, 30, 31, 33, 34, 35, 36, 39, 40, 41, 43, 44, 45, 46, 47, 51, 54]",Real Bed,5,TRUE,4,154,10,10,9,1,69,79,Entire home/apt,97,https://www.airbnb.com/rooms/10371909?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 35, 4, 5, 8, 40, 41, 43, 44, 45, 47, 21, 25, 30, 31]",Real Bed,4,TRUE,3,62,10,9,10,1,1,111,Entire home/apt,90,https://www.airbnb.com/rooms/7150252?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[35, 36, 5, 37, 38, 39, 8, 40, 41, 42, 44, 45, 47, 21, 57, 30, 31]",Real Bed,5,TRUE,4,18,10,8,9,1,913,4,Entire home/apt,85,https://www.airbnb.com/rooms/18935709?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 33, 3, 35, 4, 5, 8, 40, 41, 43, 44, 45, 46, 47, 21, 25, 30, 31]",Real Bed,5,TRUE,4,115,10,9,10,1,1,85,Entire home/apt,95,https://www.airbnb.com/rooms/10255299?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 3, 4, 5, 8, 73, 21, 25, 28, 30, 31, 32, 33, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 51, 54, 57, 61]",Real Bed,5,TRUE,3,27,10,9,10,1,1,44,Entire home/apt,87,https://www.airbnb.com/rooms/14972921?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
10,"[1, 3, 4, 5, 8, 11, 21, 25, 28, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47]",Real Bed,5,TRUE,4,65,10,9,10,1,1,139,Entire home/apt,94,https://www.airbnb.com/rooms/6504943?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[1, 33, 3, 4, 5, 8, 40, 41, 43, 44, 45, 30, 31]",Real Bed,5,TRUE,5,55,10,8,10,1,1,64,Entire home/apt,86,https://www.airbnb.com/rooms/6551724?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
9,"[33, 34, 3, 4, 5, 6, 40, 41, 43, 44, 45, 47, 51, 21, 54, 57, 30, 31]",Real Bed,5,TRUE,1,55,10,9,9,1,1,76,Entire home/apt,86,https://www.airbnb.com/rooms/2536239?location=Roppongi%2C%20Minato%2C%20Tokyo%2C%20Japan
,,,,,,,,,,,,,,,
